date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:13	23179/23179	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Oct%202022%2011:03:23%20GMT	https://preview.colorlib.com/theme/glint/	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/index.html	(from )
18:57:13	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
18:57:14	12496/12496	---M-Z	200	added ('OK')	text/css	etag:%2230d0-5c1f9c5e9f119-gzip%22	https://preview.colorlib.com/theme/glint/css/base.css	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/css/base.css	(from https://preview.colorlib.com/theme/glint/)
18:57:14	27070/27070	---M-Z	200	added ('OK')	text/css	etag:%2269be-5c1f9c5ea1059-gzip%22	https://preview.colorlib.com/theme/glint/css/vendor.css	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/css/vendor.css	(from https://preview.colorlib.com/theme/glint/)
18:57:14	75389/75389	---M-Z	200	added ('OK')	text/css	etag:%221267d-5c1f9c5ea1059-gzip%22	https://preview.colorlib.com/theme/glint/css/main.css	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/css/main.css	(from https://preview.colorlib.com/theme/glint/)
18:57:14	8418/8418	---M-Z	200	added ('OK')	application/javascript	etag:%2220e2-5b25740a4e300-gzip%22	https://preview.colorlib.com/theme/glint/js/modernizr.js	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/js/modernizr.js	(from https://preview.colorlib.com/theme/glint/)
18:57:14	12363/12363	---M-Z	200	added ('OK')	application/javascript	etag:%22304b-5b25740c36780-gzip%22	https://preview.colorlib.com/theme/glint/js/pace.min.js	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/js/pace.min.js	(from https://preview.colorlib.com/theme/glint/)
18:57:15	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5b2573e3346c0%22	https://preview.colorlib.com/theme/glint/favicon.ico	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/favicon.ico	(from https://preview.colorlib.com/theme/glint/)
18:57:15	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2019%20Feb%202024%2017:57:15%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/glint/)
18:57:15	23179/23179	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Oct%202022%2011:03:23%20GMT	https://preview.colorlib.com/theme/glint/index.html	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/index-2.html	(from https://preview.colorlib.com/theme/glint/)
18:57:15	2943/2943	---M--	200	added ('OK')	image/png	etag:%22b7f-5b2573e610d80%22	https://preview.colorlib.com/theme/glint/images/logo.png	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/images/logo.png	(from https://preview.colorlib.com/theme/glint/)
18:57:16	135047/135047	---M--	200	added ('OK')	image/jpeg	etag:%2220f87-5b2573f36ad00%22	https://preview.colorlib.com/theme/glint/images/portfolio/gallery/g-shutterbug.jpg	C:/Users/User/Desktop/prositeproject/prositeproject/preview.colorlib.com/theme/glint/images/portfolio/gallery/g-shutterbug.jpg	(from https://preview.colorlib.com/theme/glint/)
